#{"t_start": 1723435951.2883031, "env_id": "bipedal-v0"}
r,l,t
-24.444847,74,20.886285
-25.720964,41,31.460381
-14.667598,43,40.477396
-25.118233,35,45.493072
-19.022606,42,54.08357
-17.287388,50,63.965808
-16.867296,65,76.247784
-23.438759,57,86.583425
-21.966487,47,97.044552
-21.972899,51,108.355992
-21.30461,45,117.8548
-19.703938,64,131.002439
-14.90853,41,139.139035
-16.356599,52,148.373736
-28.711976,39,156.002043
-15.260624,50,165.609061
-25.370153,41,172.571263
-11.529313,51,183.415546
-30.015376,40,190.307477
-22.872851,52,201.023036
-25.277645,27,209.570705
-17.953007,42,214.267997
-9.144232,68,226.601591
-18.082802,43,235.906613
-15.901453,52,245.971682
-18.161629,46,255.968953
-26.580627,41,263.856816
-20.047436,46,272.779878
-15.00715,53,283.683683
-18.713231,50,293.706666
-13.286011,49,301.544806
-17.994795,44,309.716031
-28.486989,53,320.447434
-20.219918,55,331.210847
-21.363003,69,343.649507
-15.782179,41,349.435972
-17.476926,44,357.119892
-23.284733,46,365.314413
-10.967013,48,374.5374
61.386431,54,385.866674
-24.053569,52,396.211263
-22.662665,45,404.437537
66.922227,84,420.754398
-21.182871,45,427.907604
-12.90158,46,436.762408
-17.078519,47,444.502939
-21.536763,46,452.786624
-10.230084,67,463.327774
-11.167914,49,472.466712
-14.009848,47,480.14454
-21.233304,46,488.823761
-14.762021,45,498.558795
-10.84283,45,506.645362
-12.263456,44,512.399149
69.601518,120,533.601061
-11.871896,57,544.393278
-6.350343,48,552.047729
81.286887,94,569.33669
-6.879665,57,579.919959
-11.003723,50,588.731312
76.363571,109,607.801896
-8.082707,46,614.729664
75.780037,80,627.186748
-13.971104,55,636.791441
-2.137587,52,644.573374
70.804627,128,665.101479
-10.763709,45,673.324399
-3.979611,69,684.807164
-16.577072,28,689.627616
73.890918,65,698.576008
-12.925822,51,707.558964
-7.993987,49,712.443362
-11.687208,87,720.748944
92.391895,171,749.821743
-6.894221,61,759.763593
-2.218262,69,769.86098
97.239676,119,785.731774
-11.744926,59,793.144814
-5.48665,37,799.40725
85.716695,83,810.511027
-13.532127,69,817.673753
5.140124,56,825.011188
96.406982,112,842.454717
81.854501,97,858.464609
97.564676,107,874.616492
97.69444,79,889.317873
-15.557183,32,892.4543
86.828556,78,901.903561
-8.622151,54,910.11771
81.921494,71,921.929403
-4.254285,94,935.127697
