#{"t_start": 1719514932.692364, "env_id": "None"}
r,l,t
0.306318,34,1.186534
1.686869,43,1.194774
5.0214,33,1.458606
2.82053,23,1.749016
5.969404,32,2.208922
7.585599,66,3.069097
1.641634,42,3.623397
4.410025,36,4.089529
3.653451,34,4.567528
8.774546,40,5.103698
14.54748,38,5.568907
14.591645,58,6.302503
6.473559,29,6.673139
43.92438,42,7.20881
19.554374,52,7.860255
11.651232,40,8.373836
26.108994,41,8.889845
7.248635,40,9.388667
7.383323,28,9.739569
6.078929,44,10.279684
3.52839,35,10.762895
38.228627,65,11.832211
5.965612,31,12.269376
3.800635,33,12.725095
7.476613,55,13.541373
7.418829,38,14.068129
13.551198,45,14.696271
9.264132,39,15.335163
29.913988,56,16.137973
2.067235,27,16.547332
6.677998,30,17.034304
9.150611,32,17.494834
4.925144,28,17.961902
3.925599,32,18.412098
5.032559,30,18.777045
12.727997,39,19.276381
5.919968,32,19.666195
17.778031,34,20.118391
6.051997,27,20.445595
6.331384,24,20.754986
1.273582,39,21.254724
-0.905636,27,21.590587
17.68508,60,22.353394
7.516667,40,22.899796
6.458089,23,23.220834
12.491098,37,23.749585
45.079702,58,24.580707
4.664683,42,25.173104
8.22104,53,25.953351
7.85946,38,26.547521
3.103639,27,26.945515
8.884875,28,27.363253
4.579664,30,27.82102
40.469624,42,28.437159
12.493488,51,29.219073
30.993361,66,30.253458
30.748726,65,31.281149
26.540843,67,32.264554
1.616833,36,32.781354
7.053515,47,33.493005
17.829012,45,34.118304
28.437791,91,35.426876
2.989288,26,35.811125
35.755038,49,36.522021
14.209845,66,37.493098
13.712379,58,38.316987
8.249847,24,38.678869
27.027694,43,39.283273
45.619955,43,39.861989
36.407304,33,40.341504
17.830131,58,41.188215
15.277479,74,42.447068
38.535679,36,42.993845
4.345667,41,43.646087
41.230451,68,44.699565
19.565719,90,46.02463
29.327549,49,46.877807
7.57765,37,47.392895
27.997633,30,47.820491
93.816802,166,50.250181
50.468137,54,51.000928
4.059756,68,51.912194
20.811593,92,53.153116
72.158866,82,54.250169
43.573407,91,55.472368
23.44447,56,56.358021
36.188424,42,57.081544
8.079206,54,57.9496
11.178734,34,58.473298
